408	330	5	17.6
11242	5556	3	64.79
473	668	3	15.19
276	4841	6	63.98
3790	1071	21	365.09
101	14871	3	10.04
352	1	6	16.56
1047	237	4	18.79
101	14659	4	19.12
2262	109	8	26.46
2318	121	3	8.85
107	1591	30	142.74
7462	14	3	7.07
108	4746	3	10.12
571	755	3	17.55
1893	104	7	7.11
118	2335	3	7.5
137	210	37	68.65
964	104	16	12
5138	12	8	24.36
550	14	34	6.94
112	176	229	588.2
352	144	32	110.68
1540	14	12	8.45
936	136	3	4.04
8105	12	3	7.18
4134	104	3	4.29
408	128	12	15.36
195	1748	3	14.6
127	545	47	207.68
576	112	15	18.38
1193	186	7	36.43
2601	9	26	204.55
1137	169	4	14.44
113	2370	54	508.5
133	956	5	10.58
5656	117	4	22.19
184	17	8	4.22
1535	129	5	15.5
6625	108	3	13.34
307	4528	5	51.42
127	470	8	7.73
5360	103	7	26.37
113	2310	6	20.08
813	102	28	16.12
2629	204	3	18.77
1802	102	10	7.45
267	852	4	17.8
705	306	13	86.26
101	1072	66	98.73
127	427	7	4.22
15231	103	3	20.91
184	336	5	6.1
119	318	20	15.51
15287	9	3	31.21
17123	11848	3	80.23
143	227	12	7.61
379	18950	3	47.44
12	3245	5	4.18
16	3226	7	43.96
646	124	5	4.27
118	863	8	13.29
1783	103	12	19.22
1208	150	6	23.74
271	1168	3	14.21
732	5128	10	152.71
107	3715	4	12.53
121	18258	3	31.82
107	5812	3	11.67
102	4048	5	7.35
2999	117	29	243.3
101	10959	3	6.6
3485	106	9	33.49
1672	198	13	100.96
158	355	17	50.31
241	401	3	5.36
132	229	43	86.42
2337	2084	5	70.88
302	236	4	5.21
101	10915	4	11.87
107	5888	4	18.05
942	308	3	13.56
132	279	25	40.89
4613	1475	10	169.33
105	1378	22	49.39
111	1279	9	18.39
1154	714	3	22.99
101	10839	4	11.87
418	242	6	18.74
1083	984	3	25.14
402	5045	3	31.44
12	18992	3	18.03
110	671	14	16.93
475	220	3	5.55
107	8963	3	15.92
101	1682	16	5.89
218	261	5	5.62
106	4260	3	6.29
152	367	28	104.86
101	7773	4	6.82
124	3131	3	11.61
2562	103	5	5.14
2374	201	3	17.57
1401	2397	4	49.79
147	201	33	61.32
2080	150	4	19.39
12	2420	7	5.19
130	861	5	8.35
285	1208	11	84
11802	306	3	38.25
113	5512	16	153.59
274	4373	4	37.67
628	21	4	5.51
121	601	13	26.44
105	229	106	53.7
107	5043	5	22.42
118	1624	13	55.75
3510	2146	5	77.16
105	279	307	851.53
132	1378	6	19.82
102	2840	7	8.09
14742	120	4	41.91
2668	103	16	53.16
1844	148	14	97.04
3729	103	4	6.17
238	143	12	9.12
452	171	8	20.53
3845	124	4	20.29
131	150	40	22.51
6275	102	6	19.72
831	103	15	5.28
2615	115	3	8.07
559	106	103	333.58
160	11087	3	29.73
971	108	11	16.22
102	2720	12	24.4
381	115	14	9.59
111	567	13	10.63
124	212	34	35.9
2955	109	5	15.49
6113	14	6	18.9
894	153	4	10.3
2018	109	6	14.91
148	174	93	314.16
1490	12	12	6.13
2667	159	4	23.51
255	207	7	10.02
124	142	88	93.36
3864	14	5	7.21
2807	14	8	11.28
282	104	82	40.59
5341	768	3	37.73
139	892	5	11.91
698	14	24	5.19
1240	136	5	14.51
107	10815	4	27.59
104	4225	7	21.86
101	5649	6	9.44
10845	12	3	10.01
9650	959	3	45.93
2084	453	12	134.42
282	245	5	8.42
16	607	116	832.81
105	3026	5	8.27
112	7650	6	43.28
1397	159	4	15.74
2826	12	11	19.97
1717	775	3	27.34
108	4112	9	47.57
3875	12	13	42.14
411	159	5	6.38
1896	556	7	71.72
311	876	3	13
3355	109	3	7.45
102	480	117	192.26
299	2649	15	165.36
821	16	8	20.8
2209	116	6	21.45
6381	14	5	14.48
497	149	4	4.34
6100	12	5	12.71
988	142	14	66.22
4679	109	4	16.01
2105	142	3	11.81
1341	7044	3	45.44
3324	7980	3	55.21
2441	14	6	4.15
107	6262	3	12.59
1181	176	4	15.52
661	938	3	20.71
8070	12	4	12.18
4163	104	3	4.29
352	1416	3	18.67
105	5012	5	15.42
229	1038	4	18.01
108	5969	5	26.33
158	3918	3	19.25
726	1246	45	623.24
157	326	60	300.45
8	10458	3	22.67
111	2875	5	15.84
114	2020	3	5.43
7222	104	3	8.93
2445	109	3	5.11
112	3289	3	8.43
5680	14	3	4.39
3963	12	7	13.7
274	9162	6	79.36
105	790	26	30.57
1523	121	3	5.5
14	3451	28	150.25
1595	109	4	4.62
482	109	20	20.2
1004	12	18	5.74
637	130	7	10.81
1834	104	12	21.75
2337	14	8	8.17
4220	132	4	23.37
753	136	12	38.6
102	2210	9	9.34
6013	3622	7	139.04
107	2615	11	45.99
105	686	43	71.82
260	4015	3	25.16
126	1458	5	14.03
1739	1013	5	55.01
12408	136	3	27.61
131	651	166	1361.12
9	2936	5	22.01
107	2547	30	197.06
133	1216	6	18.11
6264	118	3	16.4
5761	8	3	16.08
187	155	45	114.77
5817	14	13	69.19
3083	173	5	35.88
101	1171	27	8.87
1212	12	19	12.66
734	13	9	27.4
103	5728	3	6.64
110	12	1332	29.62
15042	1031	3	51.56
678	121	10	18.94
101	7329	10	41.3
1470	136	3	7.36
993	14	28	27.55
2604	104	5	6.01
103	5788	5	16.37
101	17676	3	14.34
678	217	3	7.99
12	2934	10	17.69
9502	14	4	15.57
3902	453	5	55.98
101	1255	39	37.97
211	292	11	27.9
107	6772	3	13.11
125	420	12	14.78
107	715	28	63.61
108	3542	7	29.57
211	218	7	7.34
111	2181	5	12.38
108	3602	15	91.87
186	259	9	13.95
103	11470	3	14.3
11904	105	4	24.32
8314	103	3	9.82
240	611	7	30.95
1422	288	122	1825.6
1939	137	4	16.11
108	5520	5	24.75
111	2361	3	5.27
145	160	140	496.88
112	1900	6	16.09
1967	103	41	190.92
543	150	8	19.21
